participant,trial_number,stimulus,trial_type,target_trial,surveillance_correct_response
104,1,stimuli/filler18.jpg,filler,FALSE,None
104,2,stimuli/filler29.jpg,filler,FALSE,None
104,3,stimuli/filler24.jpg,filler,FALSE,None
104,4,stimuli/filler25.jpg,filler,FALSE,None
104,5,stimuli/filler44.jpg,filler,FALSE,None
104,6,stimuli/filler40.jpg,filler,FALSE,None
104,7,stimuli/filler33.jpg,filler,FALSE,None
104,8,stimuli/filler38.jpg,filler,FALSE,None
104,9,stimuli/target4_7.jpg,target,TRUE,space
104,10,stimuli/blank.jpg,blank,FALSE,None
104,11,stimuli/cs1_neg19.jpg,CSUS,FALSE,None
104,12,stimuli/blank.jpg,blank,FALSE,None
104,13,stimuli/filler32.jpg,filler,FALSE,None
104,14,stimuli/filler23.jpg,filler,FALSE,None
104,15,stimuli/filler42.jpg,filler,FALSE,None
104,16,stimuli/filler27.jpg,filler,FALSE,None
104,17,stimuli/filler35.jpg,filler,FALSE,None
104,18,stimuli/target4_5.jpg,target,TRUE,space
104,19,stimuli/filler17.jpg,filler,FALSE,None
104,20,stimuli/blank.jpg,blank,FALSE,None
104,21,stimuli/cs2_pos12.jpg,CSUS,FALSE,None
104,22,stimuli/blank.jpg,blank,FALSE,None
104,23,stimuli/filler49.jpg,filler,FALSE,None
104,24,stimuli/target4_2.jpg,target,TRUE,space
104,25,stimuli/filler16.jpg,filler,FALSE,None
104,26,stimuli/filler28.jpg,filler,FALSE,None
104,27,stimuli/filler48.jpg,filler,FALSE,None
104,28,stimuli/filler11.jpg,filler,FALSE,None
104,29,stimuli/target4_4.jpg,target,TRUE,space
104,30,stimuli/blank.jpg,blank,FALSE,None
104,31,stimuli/cs1_neg2.jpg,CSUS,FALSE,None
104,32,stimuli/blank.jpg,blank,FALSE,None
104,33,stimuli/filler30.jpg,filler,FALSE,None
104,34,stimuli/filler47.jpg,filler,FALSE,None
104,35,stimuli/filler21.jpg,filler,FALSE,None
104,36,stimuli/target4_6.jpg,target,TRUE,space
104,37,stimuli/filler14.jpg,filler,FALSE,None
104,38,stimuli/filler4.jpg,filler,FALSE,None
104,39,stimuli/filler13.jpg,filler,FALSE,None
104,40,stimuli/blank.jpg,blank,FALSE,None
104,41,stimuli/cs2_pos14.jpg,CSUS,FALSE,None
104,42,stimuli/blank.jpg,blank,FALSE,None
104,43,stimuli/target4_9.jpg,target,TRUE,space
104,44,stimuli/filler2.jpg,filler,FALSE,None
104,45,stimuli/target4_3.jpg,target,TRUE,space
104,46,stimuli/filler51.jpg,filler,FALSE,None
104,47,stimuli/filler7.jpg,filler,FALSE,None
104,48,stimuli/filler31.jpg,filler,FALSE,None
104,49,stimuli/filler22.jpg,filler,FALSE,None
104,50,stimuli/blank.jpg,blank,FALSE,None
104,51,stimuli/cs1_neg7.jpg,CSUS,FALSE,None
104,52,stimuli/blank.jpg,blank,FALSE,None
104,53,stimuli/filler37.jpg,filler,FALSE,None
104,54,stimuli/target4_10.jpg,target,TRUE,space
104,55,stimuli/filler52.jpg,filler,FALSE,None
104,56,stimuli/filler1.jpg,filler,FALSE,None
104,57,stimuli/filler46.jpg,filler,FALSE,None
104,58,stimuli/filler36.jpg,filler,FALSE,None
104,59,stimuli/filler26.jpg,filler,FALSE,None
104,60,stimuli/blank.jpg,blank,FALSE,None
104,61,stimuli/cs2_pos7.jpg,CSUS,FALSE,None
104,62,stimuli/blank.jpg,blank,FALSE,None
104,63,stimuli/filler3.jpg,filler,FALSE,None
104,64,stimuli/target4_1.jpg,target,TRUE,space
104,65,stimuli/filler5.jpg,filler,FALSE,None
104,66,stimuli/filler50.jpg,filler,FALSE,None
104,67,stimuli/filler19.jpg,filler,FALSE,None
104,68,stimuli/filler12.jpg,filler,FALSE,None
104,69,stimuli/filler10.jpg,filler,FALSE,None
104,70,stimuli/blank.jpg,blank,FALSE,None
104,71,stimuli/cs1_neg10.jpg,CSUS,FALSE,None
104,72,stimuli/blank.jpg,blank,FALSE,None
104,73,stimuli/filler39.jpg,filler,FALSE,None
104,74,stimuli/filler41.jpg,filler,FALSE,None
104,75,stimuli/filler45.jpg,filler,FALSE,None
104,76,stimuli/filler15.jpg,filler,FALSE,None
104,77,stimuli/filler9.jpg,filler,FALSE,None
104,78,stimuli/target4_8.jpg,target,TRUE,space
104,79,stimuli/filler43.jpg,filler,FALSE,None
104,80,stimuli/blank.jpg,blank,FALSE,None
104,81,stimuli/cs2_pos2.jpg,CSUS,FALSE,None
104,82,stimuli/blank.jpg,blank,FALSE,None
104,83,stimuli/filler8.jpg,filler,FALSE,None
104,84,stimuli/filler6.jpg,filler,FALSE,None
104,85,stimuli/filler20.jpg,filler,FALSE,None
104,86,stimuli/filler34.jpg,filler,FALSE,None
