participant,trial_number,stimulus,trial_type,target_trial,surveillance_correct_response
83,1,stimuli/filler8.jpg,filler,FALSE,None
83,2,stimuli/filler20.jpg,filler,FALSE,None
83,3,stimuli/filler36.jpg,filler,FALSE,None
83,4,stimuli/filler15.jpg,filler,FALSE,None
83,5,stimuli/filler13.jpg,filler,FALSE,None
83,6,stimuli/target5_2.jpg,target,TRUE,space
83,7,stimuli/filler30.jpg,filler,FALSE,None
83,8,stimuli/target5_3.jpg,target,TRUE,space
83,9,stimuli/target5_8.jpg,target,TRUE,space
83,10,stimuli/blank.jpg,blank,FALSE,None
83,11,stimuli/cs1_neg12.jpg,CSUS,FALSE,None
83,12,stimuli/blank.jpg,blank,FALSE,None
83,13,stimuli/filler11.jpg,filler,FALSE,None
83,14,stimuli/filler39.jpg,filler,FALSE,None
83,15,stimuli/filler26.jpg,filler,FALSE,None
83,16,stimuli/filler29.jpg,filler,FALSE,None
83,17,stimuli/filler18.jpg,filler,FALSE,None
83,18,stimuli/target5_4.jpg,target,TRUE,space
83,19,stimuli/filler16.jpg,filler,FALSE,None
83,20,stimuli/blank.jpg,blank,FALSE,None
83,21,stimuli/cs2_pos3.jpg,CSUS,FALSE,None
83,22,stimuli/blank.jpg,blank,FALSE,None
83,23,stimuli/filler7.jpg,filler,FALSE,None
83,24,stimuli/filler46.jpg,filler,FALSE,None
83,25,stimuli/filler34.jpg,filler,FALSE,None
83,26,stimuli/filler32.jpg,filler,FALSE,None
83,27,stimuli/filler2.jpg,filler,FALSE,None
83,28,stimuli/target5_9.jpg,target,TRUE,space
83,29,stimuli/filler52.jpg,filler,FALSE,None
83,30,stimuli/blank.jpg,blank,FALSE,None
83,31,stimuli/cs1_neg9.jpg,CSUS,FALSE,None
83,32,stimuli/blank.jpg,blank,FALSE,None
83,33,stimuli/filler50.jpg,filler,FALSE,None
83,34,stimuli/filler45.jpg,filler,FALSE,None
83,35,stimuli/filler1.jpg,filler,FALSE,None
83,36,stimuli/filler21.jpg,filler,FALSE,None
83,37,stimuli/target5_6.jpg,target,TRUE,space
83,38,stimuli/filler14.jpg,filler,FALSE,None
83,39,stimuli/filler9.jpg,filler,FALSE,None
83,40,stimuli/blank.jpg,blank,FALSE,None
83,41,stimuli/cs2_pos5.jpg,CSUS,FALSE,None
83,42,stimuli/blank.jpg,blank,FALSE,None
83,43,stimuli/filler49.jpg,filler,FALSE,None
83,44,stimuli/filler3.jpg,filler,FALSE,None
83,45,stimuli/filler42.jpg,filler,FALSE,None
83,46,stimuli/filler12.jpg,filler,FALSE,None
83,47,stimuli/filler48.jpg,filler,FALSE,None
83,48,stimuli/filler17.jpg,filler,FALSE,None
83,49,stimuli/filler4.jpg,filler,FALSE,None
83,50,stimuli/blank.jpg,blank,FALSE,None
83,51,stimuli/cs1_neg4.jpg,CSUS,FALSE,None
83,52,stimuli/blank.jpg,blank,FALSE,None
83,53,stimuli/filler5.jpg,filler,FALSE,None
83,54,stimuli/filler6.jpg,filler,FALSE,None
83,55,stimuli/filler27.jpg,filler,FALSE,None
83,56,stimuli/target5_7.jpg,target,TRUE,space
83,57,stimuli/filler24.jpg,filler,FALSE,None
83,58,stimuli/filler43.jpg,filler,FALSE,None
83,59,stimuli/filler51.jpg,filler,FALSE,None
83,60,stimuli/blank.jpg,blank,FALSE,None
83,61,stimuli/cs2_pos10.jpg,CSUS,FALSE,None
83,62,stimuli/blank.jpg,blank,FALSE,None
83,63,stimuli/target5_10.jpg,target,TRUE,space
83,64,stimuli/filler23.jpg,filler,FALSE,None
83,65,stimuli/filler33.jpg,filler,FALSE,None
83,66,stimuli/filler25.jpg,filler,FALSE,None
83,67,stimuli/filler44.jpg,filler,FALSE,None
83,68,stimuli/filler10.jpg,filler,FALSE,None
83,69,stimuli/filler38.jpg,filler,FALSE,None
83,70,stimuli/blank.jpg,blank,FALSE,None
83,71,stimuli/cs1_neg5.jpg,CSUS,FALSE,None
83,72,stimuli/blank.jpg,blank,FALSE,None
83,73,stimuli/filler22.jpg,filler,FALSE,None
83,74,stimuli/filler47.jpg,filler,FALSE,None
83,75,stimuli/filler40.jpg,filler,FALSE,None
83,76,stimuli/filler41.jpg,filler,FALSE,None
83,77,stimuli/target5_1.jpg,target,TRUE,space
83,78,stimuli/filler28.jpg,filler,FALSE,None
83,79,stimuli/target5_5.jpg,target,TRUE,space
83,80,stimuli/blank.jpg,blank,FALSE,None
83,81,stimuli/cs2_pos9.jpg,CSUS,FALSE,None
83,82,stimuli/blank.jpg,blank,FALSE,None
83,83,stimuli/filler37.jpg,filler,FALSE,None
83,84,stimuli/filler19.jpg,filler,FALSE,None
83,85,stimuli/filler35.jpg,filler,FALSE,None
83,86,stimuli/filler31.jpg,filler,FALSE,None
